ID_Helper,ID_Objectif,ID_Localite,Localite,Departement,Commune,ID_Tache,Categorie,Designation,ID_Materiel,Unite,Qte_Prevue,Qte_Realisee,Quantite_Restante,Taux_Realisation,Poids,Qte_Prevue_Total,Avancement_Pondere,Statut,Avancement_HTA_Localite_pct,Avancement_BT_Localite_pct,Avancement_Global_Localite_pct,Nb_Anomalies_Signalees
HC-422,9131cb50,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_EP,Travaux BT,EP,fbeef696,U,27.0,0.0,27.0,0.0,0.1556,27.0,0.0,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-425,c9f39715,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_Fouille_BT,Travaux BT,Fouille réseau basse tension,e221b25e,U,51.0,46.0,5.0,0.9019607843137256,0.0467,51.0,0.0421215686274509,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-424,98aee3ad,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_Fouille_HTA,Travaux HTA,Fouille réseau haute tension,f03cfc0b,U,16.0,2.0,14.0,0.125,0.0333,16.0,0.0041625,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-420,9b21046f,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_IACM,Travaux HTA,IACM,21f4f4d7,U,1.0,0.0,1.0,0.0,0.0833,1.0,0.0,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-407,df519c0c,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_PBA_BT,Travaux BT,PBA 11C650,29ef61f5,U,3.0,1.0,2.0,0.3333333333333333,0.42,50.0,0.0084,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-408,28390cb9,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_PBA_BT,Travaux BT,PBA 9A200,2ec17c4d,U,29.0,25.0,4.0,0.8620689655172413,0.42,50.0,0.2099999999999999,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-409,974ff616,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_PBA_BT,Travaux BT,PBA 9A650,215ac167,U,16.0,17.0,0.0,1.0,0.42,50.0,0.1344,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-410,7806i4188,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_PBA_BT,Travaux BT,PBA 9C650,9c6af0a4,U,1.0,1.0,0.0,1.0,0.42,50.0,0.0084,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-411,46d5c23c,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_PBA_BT,Travaux BT,PBA 9C800,526229bb,U,1.0,1.0,0.0,1.0,0.42,50.0,0.0084,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-412,35ed2f94,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_PBA_HTA,Travaux HTA,PBA 11A1250,058e9b6a,U,1.0,1.0,0.0,1.0,0.3,17.0,0.0176470588235294,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
