ID_Objectif,ID_Projet,ID_Geo,Nom_Geo_1,Nom_Geo_2,ID_Localite,ID_Tache,Designation,Quantite_Prevue,ID_Materiel
56dd9dbd,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_Cable_BT,PRC 50mm²,6456.0,8e6b4946
0f2fd2fa,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_Cable_BT,PRC 70mm²,1235.0,59dc5a38
04dc1d88,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_DMT,Point Double DMT-CC,1.0,a4425df9
564230f1,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_TFO,Transformateur 160 kVA,1.0,8ae558c8
cc338b34,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_EP,EP,65.0,fbeef696
ec3a5dca,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_Terre,Mise à la terre,50.0,002f1a3d
1e71c5f2,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_Fouille_HTA,Fouille réseau haute tension,3.0,f03cfc0b
e2ad5e19,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_Fouille_BT,Fouille réseau basse tension,203.0,e221b25e
b57da4fe,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_PBA_BT,PBA 9A200,18.0,2ec17c4d
7ec5fb34,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_PBA_BT,PBA 9A650,30.0,215ac167
b7e33abe,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_PBA_BT,PBA 9C650,2.0,9c6af0a4
ce84a0e1,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_PBA_HTA,PBA 11A1250,1.0,058e9b6a
1600e955,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_PBA_HTA,PBA 12A800,4.0,46cfa5f8
66d5f00e,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_Cable_HTA,ASTER 54mm²,100.0,e9e0a228
e64f8efd,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_Cable_BT,PRC 50mm²,2287.0,8e6b4946
557b6470,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_Cable_BT,PRC 70mm²,96.0,59dc5a38
2012a6d1,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_DMT,Point Double DMT-CC,1.0,a4425df9
9e4573a2,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_IACM,IACM,1.0,21f4f4d7
cd1069f0,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_TFO,Transformateur 160 kVA,1.0,8ae558c8
82995b9a,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_EP,EP,26.0,fbeef696
2954c668,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_Terre,Mise à la terre,22.0,002f1a3d
d242b7f0,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_Fouille_HTA,Fouille réseau haute tension,5.0,f03cfc0b
3d70fcd3,P2AE,,ATACORA,Natitingou,ATA_Nat_09,P2AE_Fouille_BT,Fouille réseau basse tension,51.0,e221b25e
7066fc69,P2AE,,ATACORA,Natitingou,ATA_Nat_10,P2AE_PBA_BT,PBA 11C650,1.0,29ef61f5
29f9b911,P2AE,,ATACORA,Natitingou,ATA_Nat_10,P2AE_PBA_BT,PBA 9A200,21.0,2ec17c4d
f86d6aab,P2AE,,ATACORA,Natitingou,ATA_Nat_10,P2AE_PBA_BT,PBA 9A650,30.0,215ac167
f613024b,P2AE,,ATACORA,Natitingou,ATA_Nat_10,P2AE_PBA_BT,PBA 9C650,3.0,9c6af0a4
726edd68,P2AE,,ATACORA,Natitingou,ATA_Nat_10,P2AE_Cable_BT,PRC 50mm²,2248.0,8e6b4946
4d52c880,P2AE,,ATACORA,Natitingou,ATA_Nat_10,P2AE_EP,EP,15.0,fbeef696
69b9c1c6,P2AE,,ATACORA,Natitingou,ATA_Nat_10,P2AE_Terre,Mise à la terre,15.0,002f1a3d
2ea85bd7,P2AE,,ATACORA,Natitingou,ATA_Nat_10,P2AE_Fouille_BT,Fouille réseau basse tension,56.0,e221b25e
e203e450,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_PBA_BT,PBA 9A200,128.0,2ec17c4d
3cfac8f4,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_PBA_BT,PBA 9A650,92.0,215ac167
d1edf9e7,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_PBA_BT,PBA 9C650,20.0,9c6af0a4
9660a233,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_PBA_HTA,PBA 11A1250,2.0,058e9b6a
1ffff91d,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_PBA_HTA,PBA 12A800,2.0,46cfa5f8
10866b12,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_PBA_HTA,PBA 13A400,4.0,cd39f595
d2042690,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_PBA_HTA,PBA 13C800,8.0,d6344558
4fe3ad17,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_Cable_HTA,ASTER 54mm²,600.0,e9e0a228
3f9ea0a0,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_Cable_BT,PRC 50mm²,8111.0,8e6b4946
6635f087,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_Cable_BT,PRC 70mm²,3337.0,59dc5a38
560b3ff3,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_DMT,Point Double DMT-CC,2.0,a4425df9
08b45f48,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_IACM,IACM,2.0,21f4f4d7
56fc895c,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_TFO,Transformateur 160 kVA,2.0,8ae558c8
f95f87d3,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_EP,EP,97.0,fbeef696
c46b12e0,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_Terre,Mise à la terre,78.0,002f1a3d
48135246,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_Fouille_HTA,Fouille réseau haute tension,18.0,f03cfc0b
39845eb3,P2AE,,ATACORA,Natitingou,ATA_Nat_11,P2AE_Fouille_BT,Fouille réseau basse tension,242.0,e221b25e
36e0f8df,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_PBA_BT,PBA 9A200,11.0,2ec17c4d
164a8406,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_PBA_BT,PBA 9A650,20.0,215ac167
6ea94e28,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_PBA_BT,PBA 9C650,2.0,9c6af0a4
adead9ca,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_PBA_HTA,PBA 11A1250,2.0,058e9b6a
ed0aab42,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_PBA_HTA,PBA 12A800,12.0,46cfa5f8
86536b75,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_PBA_HTA,PBA 13A400,15.0,cd39f595
