ID_Helper,ID_Objectif,ID_Localite,ID_Tache,Designation,Qte_Prevue,Taches,Poids,Qte_Realisee,Taux_Realisation,Qte_Prevue_Total,Avancement_Pondere,Localite,Nom_Geo_1,Categorie
HC-79,ef457d5c,ATA_Nat_05,P2AE_PBA_BT,PBA 9C650,18.0,PBA_BT,0.42,18.0,1.0,195.0,0.03876923076923077,Ouroubouga,ATACORA,Travaux BT
HC-80,0f4b1849,ATA_Nat_05,P2AE_PBA_HTA,PBA 11A1250,2.0,PBA_HTA,0.3,2.0,1.0,14.0,0.04285714285714285,Ouroubouga,ATACORA,Travaux HTA
HC-81,85afaf29,ATA_Nat_05,P2AE_PBA_HTA,PBA 12A800,3.0,PBA_HTA,0.3,3.0,1.0,14.0,0.06428571428571428,Ouroubouga,ATACORA,Travaux HTA
HC-82,739g8292,ATA_Nat_05,P2AE_PBA_HTA,PBA 13A400,3.0,PBA_HTA,0.3,3.0,1.0,14.0,0.06428571428571428,Ouroubouga,ATACORA,Travaux HTA
HC-83,7ed7efde,ATA_Nat_05,P2AE_PBA_HTA,PBA 13C800,4.0,PBA_HTA,0.3,4.0,1.0,14.0,0.0857142857142857,Ouroubouga,ATACORA,Travaux HTA
HC-84,01ba5478,ATA_Nat_05,P2AE_Cable_HTA,ASTER 54mm²,390.0,Cable_HTA,0.3333,338.0,0.8666666666666667,390.0,0.28886,Ouroubouga,ATACORA,Travaux HTA
HC-85,c75dff00,ATA_Nat_05,P2AE_Cable_BT,PRC 50mm²,8468.0,Cable_BT,0.3111,5734.070000000001,0.6771457250826642,9938.0,0.17949981656268868,Ouroubouga,ATACORA,Travaux BT
HC-86,21fcfe27,ATA_Nat_05,P2AE_Cable_BT,PRC 70mm²,1470.0,Cable_BT,0.3111,1021.0,0.6945578231292517,9938.0,0.03196147112094989,Ouroubouga,ATACORA,Travaux BT
HC-87,7ad33e05,ATA_Nat_05,P2AE_DMT,Point Double DMT-CC,2.0,DMT-CC,0.0833,2.0,1.0,2.0,0.0833,Ouroubouga,ATACORA,Travaux HTA
HC-88,99576d3a,ATA_Nat_05,P2AE_IACM,IACM,2.0,IACM,0.0833,2.0,1.0,2.0,0.0833,Ouroubouga,ATACORA,Travaux HTA
HC-89,1d67c8ef,ATA_Nat_05,P2AE_TFO,Transformateur 160 kVA,2.0,TFO,0.1667,2.0,1.0,2.0,0.1667,Ouroubouga,ATACORA,Travaux HTA
HC-90,14ca48b2,ATA_Nat_05,P2AE_EP,EP,108.0,EP,0.1556,0.0,0.0,108.0,0.0,Ouroubouga,ATACORA,Travaux BT
HC-91,66c67160,ATA_Nat_05,P2AE_Terre,Mise à la terre,77.0,Terre,0.0667,0.0,0.0,77.0,0.0,Ouroubouga,ATACORA,Travaux BT
HC-92,d7fa71d0,ATA_Nat_05,P2AE_Fouille_HTA,Fouille réseau haute tension,12.0,Fouille_HTA,0.0333,12.0,1.0,12.0,0.0333,Ouroubouga,ATACORA,Travaux HTA
HC-93,8c60c9ec,ATA_Nat_05,P2AE_Fouille_BT,Fouille réseau basse tension,197.0,Fouille_BT,0.0467,193.0,0.9796954314720813,197.0,0.045751776649746195,Ouroubouga,ATACORA,Travaux BT
HC-94,3085c4a3,ATA_Nat_06,P2AE_PBA_BT,PBA 11C650,3.0,PBA_BT,0.42,2.0,0.6666666666666666,265.0,0.0031698113207547164,Perma-centre,ATACORA,Travaux BT
HC-95,422de455,ATA_Nat_06,P2AE_PBA_BT,PBA 9A200,126.0,PBA_BT,0.42,117.0,0.9285714285714286,265.0,0.18543396226415096,Perma-centre,ATACORA,Travaux BT
