ID_Top_Localite,Rang,ID_Localite,Departement,Commune,Localite,Avancement_HTA_%,Avancement_BT_%,Avancement,Statut
21f494d7,20,ATA_Nat_06,ATACORA,Natitingou,Perma-centre,0.4075859694,0.5628892945,0.4948664381,En Cours
a4424df9,21,ATA_Nat_12,ATACORA,Natitingou,Kantchagoutamou,0.4622829854,0.5011965704,0.4841524202,En Cours
8ae558c8,22,ALI_Kan_06,ALIBORI,Kandi,Fafa,0.2510427207,0.5757784997,0.4335442285,En Cours
151ada8c,23,BOR_Tcha_04,BORGOU,Tchaourou,Barérou,0.0,0.7279136135,0.4090874508,En Cours
fbe8f696,24,ATA_Nat_14,ATACORA,Natitingou,Sossouna,0.2352306659,0.5389179346,0.4059029109,En Cours
009f1a3d,25,BOR_Dal_03,BORGOU,N'Dali,Komiguéa,0.0,0.401468944,0.401468944,En Cours
f06cfc0b,26,BOR_Par_05,BORGOU,Parakou,Bahmora,0.3153315332,0.462892929,0.3982610376,En Cours
e621b25e,27,BOR_Tcha_01,BORGOU,Tchaourou,Kpakpanin,0.08850243313,0.6392236721,0.3980077694,En Cours
2d473a19,28,DON_Djo_01,DONGA,Djougou,Founga,0.2173177318,0.5330352316,0.3947509667,En Cours
da8f88c5,29,DON_Djo_04,DONGA,Djougou,Nagatchori,0.3277772222,0.4448055194,0.3935471252,En Cours
5091c6e0,30,BOR_Dal_02,BORGOU,N'Dali,Tounré,0.3273250993,0.4438489944,0.3928115283,En Cours
1b267324,31,ATA_Nat_07,ATACORA,Natitingou,Boriyouré,0.200020002,0.521237374,0.3805441651,En Cours
7a28e6ce,32,BOR_Par_07,BORGOU,Parakou,Thian,0.2675420035,0.4411733311,0.3651228096,En Cours
729bbcaf,33,BOR_Tcha_03,BORGOU,Tchaourou,Kpessou,0.0,0.6418248485,0.3607055649,En Cours
083dfacd,34,BOR_Par_04,BORGOU,Parakou,Guerma,0.2442619262,0.4425419821,0.3556953176,En Cours
50277a1e,35,ATA_Nat_09,ATACORA,Natitingou,Dassakaté,0.02664266427,0.6011415052,0.3495110129,En Cours
3ebb20a6,36,BOR_Tcha_02,BORGOU,Tchaourou,Sakana-Kpéba,0.02399250914,0.5875012499,0.3406844214,En Cours
14e49a73,37,BOR_Par_06,BORGOU,Parakou,Bawé,0.1537101079,0.4666533347,0.3295842013,En Cours
6c40d136,38,BOR_Par_02,BORGOU,Parakou,Banikani-Rose-croix,0.2125212521,0.420076657,0.3291673896,En Cours
242b039f,39,BOR_Par_09,BORGOU,Parakou,Okédama,0.1898763925,0.437416669,0.3289940279,En Cours
775ffb39,40,DON_Bas_01,DONGA,Bassila,Partago,0.2250225023,0.3636595052,0.3029364979,En Cours
7f4df07d,41,DON_Djo_05,DONGA,Djougou,Danogou,0.021881129,0.4610538946,0.2686962233,En Cours
e8f8e8a2,42,BOR_Dal_01,BORGOU,N'Dali,Yankoï,0.06217243449,0.4272483863,0.2673451194,En Cours
953b194a,43,DON_Djo_03,DONGA,Djougou,Vanhoui,0.0,0.4252915618,0.2390138577,En Cours
c90501d2,44,ALI_Kan_03,ALIBORI,Kandi,Kéféré-Senté,0.211306845,0.2537890596,0.2351818496,En Cours
