ID_Helper,ID_Objectif,ID_Localite,Localite,Departement,Commune,ID_Tache,Categorie,Designation,ID_Materiel,Unite,Qte_Prevue,Qte_Realisee,Quantite_Restante,Taux_Realisation,Poids,Qte_Prevue_Total,Avancement_Pondere,Statut,Avancement_HTA_Localite_pct,Avancement_BT_Localite_pct,Avancement_Global_Localite_pct,Nb_Anomalies_Signalees
HC-245,f45b706a,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_PBA_BT,Travaux BT,PBA 9C650,9c6af0a4,U,7.0,0.0,7.0,0.0,0.42,80.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-246,b79a8d73,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_PBA_HTA,Travaux HTA,PBA 11A1250,058e9b6a,U,1.0,0.0,1.0,0.0,0.3,11.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-247,ff184028,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_PBA_HTA,Travaux HTA,PBA 12A800,46cfa5f8,U,1.0,0.0,1.0,0.0,0.3,11.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-248,5ccff579,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_PBA_HTA,Travaux HTA,PBA 13A400,cd39f595,U,6.0,0.0,6.0,0.0,0.3,11.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-249,f94ce2f4,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_PBA_HTA,Travaux HTA,PBA 13C800,d6344558,U,2.0,0.0,2.0,0.0,0.3,11.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-965,P2AE-OBJ-cb6b2a52,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_PBA_HTA,Travaux HTA,PBA 11C650,26e8ec03,U,1.0,0.0,1.0,0.0,0.3,11.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-255,9b818fd0,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_TFO,Travaux HTA,Transformateur 160 kVA,8ae558c8,U,1.0,0.0,1.0,0.0,0.1667,1.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-257,dd0e303d,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_Terre,Travaux BT,Mise à la terre,002f1a3d,U,27.0,0.0,27.0,0.0,0.0667,27.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-268,e9039931,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_Cable_BT,Travaux BT,PRC 50mm²,8e6b4946,m,4320.0,0.0,4320.0,0.0,0.3111,5420.0,0.0,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-269,61c2b5ed,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_Cable_BT,Travaux BT,PRC 70mm²,59dc5a38,m,1100.0,0.0,1100.0,0.0,0.3111,5420.0,0.0,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
