ID_Localite,Departement,Commune,Localite,Avancement_HTA_%,Avancement_BT_%,Avancement,Statut,A_Travaux_HTA,A_Travaux_BT
BOR_Par_01,BORGOU,Parakou,Assagbinin-Baka,0.030741535692030746,0.3397160283971603,0.20438520059231358,En Cours,True,True
BOR_Par_02,BORGOU,Parakou,Banikani-Rose-croix,0.21252125212521247,0.4200766569666776,0.3291673896461159,En Cours,True,True
BOR_Par_03,BORGOU,Parakou,Zongo,0.7132484999912421,0.7379232554578646,0.727115712563484,En Cours,True,True
BOR_Par_04,BORGOU,Parakou,Guerma,0.24426192619261922,0.44254198213546925,0.35569531763250095,En Cours,True,True
BOR_Par_05,BORGOU,Parakou,Bahmora,0.31533153315331536,0.46289292902314216,0.39826103763215803,En Cours,True,True
BOR_Par_06,BORGOU,Parakou,Bawé,0.15371010785289055,0.4666533346665334,0.3295842013221579,En Cours,True,True
BOR_Par_07,BORGOU,Parakou,Thian,0.2675420034672089,0.4411733310721461,0.36512280958118365,En Cours,True,True
BOR_Par_08,BORGOU,Parakou,Kpérou-Guéra,0.8323201792541063,0.7564570068410201,0.7896850763579519,En Cours,True,True
BOR_Par_09,BORGOU,Parakou,Okédama,0.18987639253055738,0.43741666902484927,0.32899402792034943,En Cours,True,True
BOR_Dal_01,BORGOU,N'Dali,Yankoï,0.06217243448689738,0.4272483862724839,0.267345119390397,En Cours,True,True
BOR_Dal_02,BORGOU,N'Dali,Tounré,0.3273250992886135,0.4438489943983091,0.39281152834026245,En Cours,True,True
BOR_Dal_03,BORGOU,N'Dali,Komiguéa,0.0,0.40146894401468947,0.40146894401468947,En Cours,False,True
BOR_Tcha_01,BORGOU,Tchaourou,Kpakpanin,0.08850243313101362,0.639223672063208,0.3980077694109069,En Cours,True,True
BOR_Tcha_02,BORGOU,Tchaourou,Sakana-Kpéba,0.023992509141023986,0.5875012498750125,0.34068442143352556,En Cours,True,True
BOR_Tcha_03,BORGOU,Tchaourou,Kpessou,0.0,0.6418248485199665,0.3607055648682212,En Cours,True,True
BOR_Tcha_04,BORGOU,Tchaourou,Barérou,0.0,0.7279136134724896,0.4090874507715392,En Cours,True,True
