ID_Localite,Localite,Departement,ID_Tache,Date,Jours_Ecoules_Depuis_Debut_Chantier,Quantite_Nette_Jour,Quantite_Cumulee_Realisee,Qte_Prevue_Tache,Quantite_Restante_Tache,Taux_Realisation_Tache,Saisie_Aberrante_Neutralisee
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Fouille_HTA,2026-04-27,525,18.0,18.0,50.0,32.0,0.36,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Fouille_HTA,2026-05-04,532,15.0,33.0,50.0,17.0,0.66,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Fouille_HTA,2026-08-02,622,18.0,51.0,50.0,0.0,1.02,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_IACM,2026-08-01,621,3.0,3.0,3.0,0.0,1.0,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_BT,2026-04-09,507,328.0,328.0,593.0,265.0,0.5531197301854974,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_BT,2026-04-12,510,0.0,328.0,593.0,265.0,0.5531197301854974,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_BT,2026-04-20,518,39.0,367.0,593.0,226.0,0.6188870151770658,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_BT,2026-04-27,525,139.0,506.0,593.0,87.0,0.8532883642495784,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_BT,2026-05-04,532,71.0,577.0,593.0,16.0,0.9730185497470489,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_BT,2026-05-09,537,6.0,583.0,593.0,10.0,0.9831365935919055,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_BT,2026-05-30,558,-15.0,568.0,593.0,25.0,0.9578414839797639,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_BT,2026-07-12,601,9.0,577.0,593.0,16.0,0.9730185497470489,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_BT,2026-07-18,607,2.0,579.0,593.0,14.0,0.9763912310286678,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_BT,2026-08-09,629,3.0,582.0,593.0,11.0,0.9814502529510961,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_BT,2026-08-22,642,2.0,584.0,593.0,9.0,0.984822934232715,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_HTA,2026-04-27,525,18.0,18.0,53.0,35.0,0.33962264150943394,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_HTA,2026-05-04,532,15.0,33.0,53.0,20.0,0.6226415094339622,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_HTA,2026-05-30,558,3.0,36.0,53.0,17.0,0.6792452830188679,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_HTA,2026-07-12,601,15.0,51.0,53.0,2.0,0.9622641509433962,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_PBA_HTA,2026-08-22,642,2.0,53.0,53.0,0.0,1.0,False
BOR_Par_09,Okédama,BORGOU,P2AE_Fouille_BT,2026-04-09,507,478.0,478.0,758.0,280.0,0.6306068601583114,False
BOR_Par_09,Okédama,BORGOU,P2AE_Fouille_BT,2026-04-12,510,-232.0,246.0,758.0,512.0,0.3245382585751979,False
BOR_Par_09,Okédama,BORGOU,P2AE_Fouille_BT,2026-04-20,518,335.0,581.0,758.0,177.0,0.7664907651715039,False
BOR_Par_09,Okédama,BORGOU,P2AE_Fouille_BT,2026-04-27,525,24.0,605.0,758.0,153.0,0.7981530343007915,False
BOR_Par_09,Okédama,BORGOU,P2AE_Fouille_BT,2026-05-04,532,31.0,636.0,758.0,122.0,0.8390501319261213,False
